"Catégorie","Longitude","Latitude","Voie","Ville","Types de travaux","Date"
"Travaux","2.200967996474816","48.98122800932322","21 rue Paul Bloch","78176","branchement gaz","1/1/2022"
"Travaux","2.200277915931506","48.97640343983297","Avenue Maurice Berteaux","78176","suppression de jardinière et la réalisation d'enrobés","2/20/2018"
"Travaux","2.2100290014455197","48.97080901030955","63 rue des Plâtrières","78176","Creation de place de parking","1/23/2020"
"Travaux","2.191947979010621","48.97168600883879","36 boulevard Clémenceau","78176","remplacement d'un cadre sur la chaussée","3/7/2022"
"Travaux","2.1846754755275626","48.96833711705359","Rue du Professeur Calmette","78176","travaux de réfection de voirie et de trottoirs","4/18/2022"
"Travaux","2.183897999200923","48.97007601287686","25 Rue du Professeur Calmette","78176","création d'un branchement des eaux usées","6/4/2021"
"Travaux","2.1937549916066956","48.96884500466699","Place Pierre Semard","78176","opération de pose et installation des illuminations de Noël","11/29/2022"
"Travaux","2.1849250337970147","48.95441099021323","98 rue de Saint-Germain","78176","travaux de raccordement au réseau public","9/5/2021"
"Travaux","2.1885239715634555","48.964626979532","47 boulevard d'Alsace","78176","travaux de branchement neuf en eau potable","8/24/2022"
"Travaux","2.1887060265004266","48.970175003153344","18 boulevard de Lorraine","78176","travaux de modification de branchement","5/11/2019"
"Travaux","2.1856700173512422","48.966266018788446","44 rue Jean Charcot","78176","création d'un branchement gaz","10/16/2020"
"Travaux","2.185523265213121","48.96258283480901","14 chemin des Battiers","78176","travaux de branchement neuf en eau potable","7/18/2022"
"Travaux","2.192630577742784","48.96531151550181","Rue de Saint-Germain parvis du gymnase","78176","aménagement du parvis du gymnase","4/15/2019"
"Travaux","2.192630577742784","48.96531151550181","Rue de Saint-Germain","78176","création d'un branchement des eaux usées","3/27/2022"
"Travaux","2.1786890743739877","48.955502784827495","Route de Seine","78176","travaux de terrassement","12/8/2021"
"Travaux","2.1951760175615505","48.96280299358202","49 rue des Champs Guillaume","78176","création de conduites Télécoms","5/4/2019"
"Travaux","2.1972826075095884","48.958386933642544","9 avenue Louis Hayet","78176","pose de réseaux ENEDIS","9/12/2021"
"Travaux","2.1953940308631275","48.96925001822842","11 boulevard Joffre","78176","remplacement d'un cadre ORANGE","10/28/2018"
"Travaux","2.204258983118592","48.96412301760358","16 rue de la Bataille","78176","création d'un branchement électrique","11/14/2020"
"Travaux","2.265498","48.962620","A115 - A15","95118","création d'une bretelle d'acces à l'A15","12/15/2022"
"Travaux","2.2511727032830833","48.97288765463326","Rue touzelin","95118","renouvellement du réseau gaz","6/29/2020"
"Travaux","2.253472841099499","48.97047230935216","Rue Victor Basch","95118","renouvellement du réseau gaz","7/4/2020"
"Travaux","2.2449824121051236","48.969426558538146","Rue du puit gohier","95118","renouvellement du réseau gaz","7/8/2020"
"Travaux","2.252996648295621","48.972186421195815","Rue Georges risler","95118","renouvellement du réseau gaz","7/17/2020"
"Travaux","2.1972955736614375","48.99907536729721","Allée Camille Saint-Saëns","95370","curage du réseau d’assainissement","1/15/2023"
"Travaux","2.1972664347026774","48.999086239235254","Allée Hector Berlioz","95370","curage du réseau d’assainissement","1/16/2023"
"Travaux","2.196332025954628","48.998875143248675","Allée Gabriel Faure","95370","curage du réseau d’assainissement","1/17/2023"
"Travaux","2.208241510725523","48.996851983336725","Allée Odilon Redon","95370","curage du réseau d’assainissement","1/20/2023"
"Travaux","2.2059276833867605","48.997274341663505","Allée Théodore Fantin Latour","95370","curage du réseau d’assainissement","1/21/2023"
"Travaux","2.1934122100011395","48.99856597552908","Rue Serge Launay ","95370","enfouissement des réseaux aériens","1/17/2023"
"Travaux","2.192362832323599","48.99953831735688","Simone Eiffes ","95370","enfouissement des réseaux aériens","1/20/2023"
"Travaux","2.192233969546976","48.99022899986721","42 rue du général-de-gaulle","95370","raccordement au réseau des eaux usées","9/17/2022"
"Travaux","2.19461106066806","49.01795787850293","Avenue des Marronniers","95250","Aménagement d’une piste cyclable","5/8/2019"
"Travaux","2.196144965568635","49.00971298525562","155 chaussée Jules César","95250","réhabilitation du parking","12/4/2020"
"Travaux","2.2099549892404866","49.03521601531432","1 Rue Nelson Mandela","95550","travaux de terrassement","7/17/2019"
"Travaux","2.268627468314544","48.99642853205973","Rue Gambetta","95600","Travaux d’enfouissement des réseaux ","10/25/2021"
