latitude,longitude,town,postcode,epci,county,weight
45.6754,0.24273000000000003,244.0,16600.0,14.0,1.0,29.259826793920112
45.59092,0.27279000000000003,99.0,16410.0,14.0,1.0,29.254029692470837
45.54825,0.12207000000000001,214.0,16440.0,14.0,1.0,29.248232591021562
45.64459,0.11869,11.0,16000.0,14.0,1.0,29.285913750441853
45.70302,-0.30443000000000003,43.0,16100.0,15.0,1.0,28.245334040296925
45.63751,0.14252,11.0,16000.0,14.0,1.0,29.285913750441853
45.64074,0.19529000000000002,313.0,16800.0,14.0,1.0,29.26272534464475
45.6417,-0.13820000000000002,276.0,16720.0,15.0,1.0,28.236638388123012
45.79096,0.30160000000000003,145.0,16110.0,30.0,1.0,27.65706963591375
45.73976,0.24252,45.0,16590.0,14.0,1.0,29.26272534464475
45.68457,0.23062000000000002,244.0,16600.0,14.0,1.0,29.259826793920112
45.72674,0.22393000000000002,67.0,16430.0,14.0,1.0,29.26852244609403
45.27346,-0.5716,250.0,33820.0,53.0,7.0,21.7090491339696
45.64063,0.19340000000000002,313.0,16800.0,14.0,1.0,29.26272534464475
45.67585,0.13639,292.0,16710.0,14.0,1.0,29.26272534464475
45.69194,0.02475,20.0,16290.0,14.0,1.0,29.23953693884765
45.62375,0.1296,140.0,16400.0,14.0,1.0,29.271420996818666
45.32927,-0.5001,90.0,17130.0,56.0,2.0,5.5415164369035
45.57575,-0.31472,82.0,17520.0,56.0,2.0,5.5415164369035
45.5872,-0.33126000000000005,300.0,16130.0,56.0,1.0,27.5415164369035
45.64026,0.13609000000000002,11.0,16000.0,14.0,1.0,29.285913750441853
45.65353,-1.1246,278.0,17420.0,7.0,,0.11555319901025098
45.64625,0.11170000000000001,11.0,16000.0,14.0,1.0,29.285913750441853
45.64735,0.11632,11.0,16000.0,14.0,1.0,29.285913750441853
45.65433,0.25470000000000004,324.0,16600.0,14.0,1.0,29.236638388123012
45.79641,-0.03003,255.0,16170.0,74.0,1.0,27.56240721102863
45.70727,-0.30167000000000005,43.0,16100.0,15.0,1.0,28.245334040296925
45.79591,-0.030150000000000003,255.0,16170.0,74.0,1.0,27.56240721102863
45.53599,-0.16887000000000002,325.0,16120.0,15.0,1.0,28.236638388123012
45.46957,-0.20206000000000002,207.0,16300.0,59.0,1.0,27.59029692470838
45.58883,-0.34212000000000004,269.0,16130.0,56.0,2.0,5.5415164369035
45.62105,0.40377,259.0,16380.0,30.0,1.0,27.651272534464475
